A	o	DT
net	MP	JJ
heating	MP	NN
efficiency	MP	NN
of	o	IN
50	QA	CD
%	QA	NN
is	o	VBZ
similar	o	JJ
to	o	IN
the	o	DT
heating	o	NN
efficiency	o	NN
in	o	IN
the	o	DT
jovian	o	JJ
thermosphere	o	NNS
(	o	-LRB-
Waite	o	NNP
et	o	NNP
al	o	NNP
.	o	.
,	o	,
1983	o	CD
)	o	-RRB-
,	o	,
and	o	CC
we	o	PRP
may	o	MD
consider	o	VB
this	o	DT
as	o	IN
a	o	DT
representative	o	JJ
case	o	NN
of	o	IN
a	o	DT
typical	ME	JJ
gas	ME	NN
giant	ME	NN
(	ME	-LRB-
hereafter	ME	RB
,	ME	,
the	ME	DT
H50	ME	NNP
model	ME	NN
)	ME	-RRB-
.	o	.

The	o	DT
maximum	MP	JJ
temperature	MP	NN
in	o	IN
the	o	DT
H50	ME	NNP
model	ME	NN
is	o	VBZ
11	QA	CD
,	QA	,
500	QA	CD
K	QA	NNP
and	o	CC
the	o	DT
temperature	MP	NN
peak	MP	NN
is	o	VBZ
located	o	VBN
near	QA	IN
1.5	QA	CD
Rp	QA	NNP
(	o	-LRB-
p	ME	NN
=	QL	SYM
0.3	QA	CD
nbar	QA	NN
)	o	-RRB-
.	o	.

As	o	IN
ηnet	MP	NN
varies	o	VBZ
from	o	IN
0.1	QA	CD
to	QA	TO
1	QA	CD
,	o	,
the	o	DT
peak	MP	NN
shifts	QL	NNS
from	QL	IN
1.4	QA	CD
Rp	QA	NNP
(	QA	-LRB-
0.5	QA	CD
nbar	QA	NN
)	QA	-RRB-
to	QA	IN
1.9	QA	CD
Rp	QA	NNP
(	QA	-LRB-
0.1	QA	CD
nbar	QA	NN
)	QA	-RRB-
and	o	CC
the	o	DT
maximum	MP	JJ
temperature	MP	NN
varies	o	VBZ
from	o	IN
10	QA	CD
,	QA	,
000	QA	CD
K	QA	NN
to	QA	IN
13	QA	CD
,	QA	,
200	QA	CD
K	QA	NN
.	o	.

It	o	PRP
is	o	VBZ
interesting	o	JJ
to	o	TO
note	o	VB
that	o	IN
the	o	DT
temperature	o	NN
profile	o	NN
depends	o	VBZ
strongly	o	RB
on	o	IN
the	o	DT
heating	o	NN
efficiency	o	NN
but	o	CC
the	o	DT
location	o	NN
of	o	IN
the	o	DT
peak	o	NN
and	o	CC
the	o	DT
maximum	o	JJ
temperature	o	NN
depend	o	VBP
only	o	RB
weakly	o	RB
on	o	IN
ηnet	o	NN
.	o	.

This	o	DT
is	o	VBZ
because	o	IN
the	o	DT
vertical	o	JJ
velocity	o	NN
increases	o	VBZ
with	o	IN
heating	o	NN
efficiency	o	NN
,	o	,
leading	o	VBG
to	o	IN
more	o	RBR
efficient	o	JJ
cooling	o	NN
by	o	IN
faster	o	JJR
expansion	o	NN
that	o	WDT
controls	o	VBZ
the	o	DT
peak	o	NN
temperature	o	NN
while	o	IN
enhanced	o	VBN
advection	o	NN
and	o	CC
high	o	JJ
altitude	o	NN
heating	o	NN
flatten	o	VBP
the	o	DT
temperature	o	NN
gradient	o	NN
above	o	IN
the	o	DT
peak	o	NN
.	o	.

As	o	IN
a	o	DT
result	o	NN
,	o	,
the	o	DT
temperature	o	NN
profile	o	NN
is	o	VBZ
almost	o	RB
isothermal	o	JJ
when	o	WRB
ηnet	ME	NN
=	o	NN
1	QA	CD
.	o	.

The	o	DT
STIM	o	NNP
GCM	o	NNP
calculates	o	VBZ
the	o	DT
transport	o	NN
by	o	IN
winds	o	NNS
and	o	CC
molecular	o	JJ
and	o	CC
turbulent	o	JJ
diffusion	o	NN
of	o	IN
key	o	JJ
neutral	o	JJ
species	o	NNS
(	o	-LRB-
H	o	NN
,	o	,
H2	o	NNP
,	o	,
He	o	PRP
,	o	,
CH4	o	NNP
,	o	,
H2O	o	NNP
)	o	-RRB-
,	o	,
following	o	VBG
the	o	DT
procedures	o	NNS
outlined	o	VBN
by	o	IN
Müller	o	NNP
-	o	HYPH
Wodarg	o	NNP
et	o	NNP
al	o	NNP
.	o	.
(	o	-LRB-
2006	o	CD
)	o	-RRB-
.	o	.

The	o	DT
global	o	JJ
spherical	o	JJ
grid	o	NN
has	o	VBZ
flexible	o	JJ
resolution	o	NN
.	o	.

For	o	IN
simulations	ME	NNS
in	ME	IN
this	ME	DT
study	ME	NN
we	o	PRP
assumed	o	VBD
spacing	QL	VBG
in	QL	IN
latitude	MP	NN
and	o	CC
longitude	MP	NN
of	o	IN
2	QA	CD
°	QA	CD
and	o	CC
10	QA	CD
°	QA	NNS
,	o	,
respectively	o	RB
,	o	,
and	o	CC
a	o	DT
vertical	MP	JJ
resolution	MP	NN
of	o	IN
0.4	QA	CD
scale	QA	NN
heights	QA	NNS
.	o	.

Our	o	PRP$
time	MP	NN
integration	MP	NN
step	MP	NN
was	o	VBD
5	QA	CD
s	QA	NN
and	o	CC
we	o	PRP
ran	o	VBD
the	o	DT
code	o	NN
for	o	IN
500	QA	CD
Saturn	ME	NNP
rotations	ME	NNS
to	o	TO
reach	o	VB
steady	o	JJ
state	o	NN
.	o	.

The	o	DT
moon	o	NN
Enceladus	o	NNP
,	o	,
embedded	o	VBN
in	o	IN
Saturn	o	NNP
’s	o	POS
radiation	o	NN
belts	o	NNS
,	o	,
is	o	VBZ
the	o	DT
main	o	JJ
internal	o	JJ
source	o	NN
of	o	IN
neutral	o	JJ
and	o	CC
charged	o	VBN
particles	o	NNS
in	o	IN
the	o	DT
Kronian	o	NNP
magnetosphere	o	RB
.	o	.

A	o	DT
plume	o	NN
of	o	IN
water	o	NN
ice	o	NN
molecules	o	NNS
and	o	CC
dust	o	NN
released	o	VBN
through	o	IN
geysers	o	NNS
on	o	IN
the	o	DT
south	o	JJ
polar	o	JJ
region	o	NN
provides	o	VBZ
enough	o	JJ
material	o	NN
to	o	TO
feed	o	VB
the	o	DT
E	o	NN
-	o	NN
ring	o	NN
and	o	CC
also	o	RB
the	o	DT
neutral	o	JJ
torus	o	NN
of	o	IN
Saturn	o	NNP
and	o	CC
the	o	DT
entire	o	JJ
magnetosphere	o	NN
.	o	.

In	o	IN
the	o	DT
time	ME	NN
period	ME	NN
2005	QA	CD
–	QA	:
2010	QA	CD
the	ME	DT
Cassini	ME	NNP
spacecraft	ME	NN
flew	MP	VBD
close	MP	RB
by	MP	IN
the	MP	DT
moon	MP	NN
14	QA	CD
times	QA	NNS
,	o	,
sometimes	o	RB
as	QA	RB
low	QA	JJ
as	QA	IN
25	QA	CD
km	QA	NNS
above	QL	IN
the	QL	DT
surface	QL	NN
and	o	CC
directly	o	RB
through	o	IN
the	o	DT
plume	o	NN
.	o	.

For	o	IN
the	o	DT
very	o	RB
first	o	JJ
time	o	NN
measurements	o	NNS
of	o	IN
plasma	o	NN
and	o	CC
energetic	o	JJ
particles	o	NNS
inside	o	IN
the	o	DT
plume	o	NN
and	o	CC
its	o	PRP$
immediate	o	JJ
vicinity	o	NN
could	o	MD
be	o	VB
obtained	o	VBN
.	o	.

In	o	IN
this	o	DT
work	o	NN
we	o	PRP
summarize	o	VBP
the	o	DT
results	o	NNS
of	o	IN
energetic	o	JJ
electron	ME	NN
measurements	o	NNS
in	o	IN
the	o	DT
energy	MP	NN
range	o	NN
27	QA	CD
keV	QA	NNP
to	QA	IN
21	QA	CD
MeV	QA	NNP
taken	o	VBN
by	o	IN
the	o	DT
Low	o	NNP
Energy	o	NNP
Magnetospheric	o	NNP
Measurement	o	NNP
System	o	NNP
(	o	-LRB-
LEMMS	o	NNP
)	o	-RRB-
,	o	,
part	o	NN
of	o	IN
the	o	DT
Magnetospheric	o	NNP
Imaging	o	NNP
Instrument	o	NNP
(	o	-LRB-
MIMI	o	NNP
)	o	-RRB-
onboard	o	IN
Cassini	o	NNP
in	o	IN
the	o	DT
vicinity	o	NN
of	o	IN
the	o	DT
moon	o	NN
in	o	IN
combination	o	NN
with	o	IN
measurements	o	NNS
of	o	IN
the	o	DT
magnetometer	o	NN
instrument	o	NN
MAG	o	NNP
and	o	CC
the	o	DT
Electron	o	NNP
Spectrometer	o	NNP
ELS	o	NNP
of	o	IN
the	o	DT
plasma	o	NN
instrument	o	NN
CAPS	o	NNS
onboard	o	IN
the	o	DT
spacecraft	o	NN
.	o	.

Features	o	NNS
in	o	IN
the	o	DT
