A	o	DT
net	o	JJ
heating	o	NN
efficiency	o	NN
of	o	IN
50	o	CD
%	o	NN
is	o	VBZ
similar	o	JJ
to	o	IN
the	o	DT
heating	o	NN
efficiency	o	NN
in	o	IN
the	o	DT
jovian	o	NN
thermosphere	o	NN
(	o	-LRB-
Waite	o	VB
et	o	FW
al	o	NNP
.	o	.
,	o	,
1983	o	CD
)	o	-RRB-
,	o	,
and	o	CC
we	o	PRP
may	o	MD
consider	o	VB
this	o	DT
as	o	IN
a	o	DT
representative	o	JJ
case	o	NN
of	o	IN
a	o	DT
typical	ME	JJ
gas	ME	NN
giant	ME	NN
(	ME	-LRB-
hereafter	ME	RB
,	ME	,
the	ME	DT
H50	ME	JJ
model	ME	NN
)	ME	-RRB-
.	o	.
The	o	DT
maximum	o	JJ
temperature	o	NN
in	o	IN
the	o	DT
H50	ME	JJ
model	ME	NN
is	o	VBZ
11,500	o	CD
K	o	NNP
and	o	CC
the	o	DT
temperature	o	NN
peak	o	NN
is	o	VBZ
located	o	VBN
near	o	IN
1.5Rp	o	CD
(	o	-LRB-
p	ME	NN
=	o	SYM
0.3	o	CD
nbar	o	NN
)	o	-RRB-
.	o	.
As	o	IN
ηnet	o	NN
varies	o	VBZ
from	o	IN
0.1	o	CD
to	o	IN
1	o	CD
,	o	,
the	o	DT
peak	o	NN
shifts	o	NNS
from	o	IN
1.4Rp	o	CD
(	o	-LRB-
0.5	o	CD
nbar	o	NN
)	o	-RRB-
to	o	IN
1.9Rp	o	CD
(	o	-LRB-
0.1	o	CD
nbar	o	NN
)	o	-RRB-
and	o	CC
the	o	DT
maximum	o	JJ
temperature	o	NN
varies	o	VBZ
from	o	IN
10,000	o	CD
K	o	NNP
to	o	IN
13,200	o	CD
K.	o	NNP
It	o	PRP
is	o	VBZ
interesting	o	JJ
to	o	TO
note	o	VB
that	o	IN
the	o	DT
temperature	o	NN
profile	o	NN
depends	o	VBZ
strongly	o	RB
on	o	IN
the	o	DT
heating	o	NN
efficiency	o	NN
but	o	CC
the	o	DT
location	o	NN
of	o	IN
the	o	DT
peak	o	NN
and	o	CC
the	o	DT
maximum	o	JJ
temperature	o	NN
depend	o	VBP
only	o	RB
weakly	o	RB
on	o	IN
ηnet	o	NN
.	o	.
This	o	DT
is	o	VBZ
because	o	IN
the	o	DT
vertical	o	JJ
velocity	o	NN
increases	o	NNS
with	o	IN
heating	o	NN
efficiency	o	NN
,	o	,
leading	o	VBG
to	o	IN
more	o	RBR
efficient	o	JJ
