In	o	IN	0	prep	5
the	o	DT	1	det	3
previous	o	JJ	2	amod	3
section	o	NN	3	pobj	0
we	o	PRP	4	nsubj	5
discussed	o	VBD	5	ROOT	5
models	o	NNS	6	dobj	5
where	o	WRB	7	advmod	14
the	o	DT	8	det	12
net	o	JJ	9	amod	12
heating	o	NN	10	compound	11
efficiency	o	NN	11	compound	12
ηnet	o	NN	12	nsubjpass	14
was	o	VBD	13	auxpass	14
fixed	o	VBN	14	relcl	6
at	o	IN	15	prep	14
a	o	DT	16	det	18
constant	o	JJ	17	amod	18
value	o	NN	18	pobj	15
at	o	IN	19	prep	14
all	o	DT	20	det	21
altitudes	o	NNS	21	pobj	19
.	o	.	22	punct	5

In	o	IN	0	prep	4
this	o	DT	1	det	2
section	o	NN	2	pobj	0
we	o	PRP	3	nsubj	4
discuss	o	VBP	4	ROOT	4
more	o	RBR	5	advmod	6
realistic	o	JJ	6	amod	7
models	o	NNS	7	dobj	4
of	o	IN	8	prep	7
HD209458b	o	NNP	9	pobj	8
that	o	WDT	10	nsubj	11
rely	o	VBP	11	relcl	7
on	o	IN	12	prep	11
new	o	JJ	13	amod	14
approximations	o	NNS	14	pobj	12
of	o	IN	15	prep	14
photoelectron	o	NN	16	compound	18
heating	o	NN	17	compound	18
efficiency	o	NN	18	pobj	15
and	o	CC	19	cc	11
derive	o	VB	20	conj	11
an	o	DT	21	det	22
estimate	o	NN	22	dobj	20
of	o	IN	23	prep	22
ηnet	o	NN	24	pobj	23
based	o	VBN	25	acl	22
on	o	IN	26	prep	25
these	o	DT	27	det	28
models	o	NNS	28	pobj	26
.	o	.	29	punct	4

Here	o	RB	0	advmod	3
we	o	PRP	1	nsubj	3
also	o	RB	2	advmod	3
include	o	VBP	3	ROOT	3
radiative	o	NN	4	amod	5
cooling	o	NN	5	dobj	3
from	o	IN	6	prep	5
recombination	o	NN	7	pobj	6
and	o	CC	8	cc	3
,	o	,	9	punct	3
in	o	IN	10	prep	17
one	o	CD	11	nummod	12
case	o	NN	12	pobj	10
,	o	,	13	punct	10
H	o	NNP	14	compound	15
Lyman	o	NNP	15	nmod	17
α	o	IN	16	amod	17
emissions	o	NNS	17	dobj	3
by	o	IN	18	prep	17
excited	o	JJ	19	amod	20
H	o	NNP	20	pobj	18
(	o	-LRB-	21	punct	20
Murray	o	NNP	22	compound	26
-	o	HYPH	23	punct	26
Clay	o	NNP	24	nmod	26
et	o	FW	25	nmod	26
al	o	NNP	26	appos	20
.	o	NNP	27	punct	20
,	o	,	28	punct	27
2009	o	CD	29	npadvmod	27
)	o	-RRB-	30	punct	20
.	o	.	31	punct	3

Our	o	PRP$	0	poss	1
aim	o	NN	1	nsubj	2
was	o	VBD	2	ROOT	2
to	o	TO	3	aux	4
calculate	o	VB	4	xcomp	2
the	o	DT	5	det	8
most	o	RBS	6	advmod	7
likely	o	JJ	7	amod	8
range	o	NN	8	dobj	4
of	o	IN	9	prep	8
temperatures	o	NNS	10	pobj	9
in	o	IN	11	prep	10
the	o	DT	12	det	13
thermosphere	o	NN	13	pobj	11
of	o	IN	14	prep	13
HD209458b	o	NNP	15	pobj	14
based	o	VBN	16	acl	8
on	o	IN	17	prep	16
average	o	JJ	18	amod	20
solar	o	JJ	19	amod	20
fluxes	o	NNS	20	pobj	17
.	o	.	21	punct	2

Fig	o	NNP	0	nsubj	3
.	o	.	1	punct	0
4	o	CD	2	nummod	0
shows	o	VBZ	3	ROOT	3
the	o	DT	4	det	8
temperature	o	NN	5	nmod	8
and	o	CC	6	cc	5
velocity	o	NN	7	conj	5
profiles	o	NNS	8	dobj	3
at	o	IN	9	prep	3
1–5Rp	o	CD	10	pobj	9
based	o	VBN	11	acl	8
on	o	IN	12	prep	11
different	o	JJ	13	amod	14
approximations	o	NNS	14	pobj	12
(	o	-LRB-	15	punct	16
see	o	VB	16	parataxis	3
Table	o	NNP	17	nsubj	16
2	o	CD	18	nummod	17
for	o	IN	19	prep	17
the	o	DT	20	det	22
input	o	NN	21	compound	22
parameters	o	NNS	22	pobj	19
)	o	-RRB-	23	punct	16
.	o	.	24	punct	3

Model	o	NNP	0	compound	1
C1	o	NNP	1	nsubj	2
assumes	o	VBZ	2	ROOT	2
a	o	DT	3	det	7
constant	o	JJ	4	amod	7
photoelectron	o	NN	5	compound	7
heating	o	NN	6	compound	7
efficiency	o	NN	7	dobj	2
of	o	IN	8	prep	7
93	o	CD	9	nummod	10
%	o	NN	10	pobj	8
at	QL	IN	11	prep	7
all	QL	DT	12	det	13
altitudes	QL	NNS	13	pobj	11
and	QL	CC	14	cc	13
photoelectron	QL	VB	15	compound	16
energies	QL	NNS	16	conj	13
.	o	.	17	punct	2

This	o	DT	0	det	2
heating	o	NN	1	compound	2
efficiency	o	NN	2	nsubj	3
is	o	VBZ	3	ROOT	3
appropriate	o	JJ	4	acomp	3
for	o	IN	5	prep	4
photoelectrons	o	NNS	6	pobj	5
created	o	VBN	7	acl	6
by	o	IN	8	agent	7
50	o	CD	9	nummod	11
eV	o	NNP	10	compound	11
photons	o	NNS	11	pobj	8
at	QL	IN	12	prep	7
an	QL	DT	13	det	16
electron	QL	NN	14	compound	15
mixing	QL	NN	15	compound	16
ratio	QL	NN	16	pobj	12
of	QL	IN	17	prep	16
xe	QL	NN	18	subtok	19
=	QL	SYM	19	subtok	20
0.1	QL	CD	20	pobj	17
(	o	-LRB-	21	punct	26
Cecchi	o	NNP	22	nmod	26
-	o	HYPH	23	punct	26
Pestellini	o	NNP	24	nmod	26
et	o	FW	25	nmod	26
al	o	NNP	26	parataxis	7
.	o	NNP	27	punct	26
,	o	,	28	punct	27
2009	o	CD	29	npadvmod	27
)	o	-RRB-	30	punct	26
.	o	.	31	punct	3

Model	o	NNP	0	compound	1
C2	o	NNP	1	nsubj	2
is	o	VBZ	2	ROOT	2
otherwise	o	RB	3	advmod	4
similar	o	JJ	4	acomp	2
to	o	IN	5	prep	4
C1	o	NNP	6	pobj	5
but	o	CC	7	cc	2
the	o	DT	8	det	10
heating	o	NN	9	compound	10
efficiency	o	NN	10	nsubj	11
varies	o	VBZ	11	conj	2
with	o	IN	12	prep	11
photoelectron	o	NN	13	compound	14
energy	o	NN	14	pobj	12
and	o	CC	15	cc	14
altitude	o	NN	16	conj	14
(	o	-LRB-	17	punct	18
see	o	VB	18	parataxis	11
below	o	RB	19	advmod	18
)	o	-RRB-	20	punct	18
.	o	.	21	punct	11

Models	o	NNS	0	compound	1
C3	o	NNP	1	nsubjpass	6
and	o	CC	2	cc	1
C4	o	NNP	3	conj	1
are	o	VBP	4	auxpass	6
also	o	RB	5	advmod	6
based	o	VBN	6	ROOT	6
on	o	IN	7	prep	6
C1	o	NNP	8	pobj	7
,	o	,	9	punct	6
but	o	CC	10	cc	6
C3	o	NNP	11	nsubj	12
includes	o	VBZ	12	conj	6
the	o	DT	13	det	16
substellar	o	JJ	14	nmod	16
tidal	o	JJ	15	amod	16
forces	o	NNS	16	dobj	12
in	o	IN	17	prep	16
the	o	DT	18	det	19
equations	o	NNS	19	pobj	17
of	o	IN	20	prep	19
motion	o	NN	21	pobj	20
(	o	-LRB-	22	punct	26
e.g.	o	RB	23	advmod	26
,	o	,	24	punct	26
Garcia	o	NNP	25	compound	26
Munoz	o	NNP	26	appos	19
,	o	,	27	punct	26
2007	o	CD	28	npadvmod	26
)	o	-RRB-	29	punct	26
and	o	CC	30	cc	16
C4	o	NNP	31	conj	16
includes	o	VBZ	32	conj	12
Lyman	o	NNP	33	nsubj	35
α	o	XX	34	dep	35
cooling	o	NN	35	xcomp	32
.	o	.	36	punct	12

All	o	DT	0	nsubjpass	5
of	o	IN	1	prep	0
these	o	DT	2	det	3
models	o	NNS	3	pobj	1
are	o	VBP	4	auxpass	5
based	o	VBN	5	ROOT	5
on	o	IN	6	prep	5
the	o	DT	7	det	10
outflow	o	JJ	8	amod	9
boundary	o	JJ	9	compound	10
conditions	o	NNS	10	pobj	6
for	o	IN	11	prep	10
temperature	o	NN	12	pobj	11
,	o	,	13	punct	12
velocity	o	NN	14	conj	12
,	o	,	15	punct	14
and	o	CC	16	cc	14
density	o	NN	17	conj	14
.	o	.	18	punct	5

Once	o	RB	0	advmod	1
again	o	RB	1	advmod	12
,	o	,	2	punct	12
the	o	DT	3	det	4
differences	o	NNS	4	nsubj	12
between	o	IN	5	prep	4
the	o	DT	6	det	8
earlier	o	JJR	7	amod	8
models	o	NNS	8	pobj	5
and	o	CC	9	cc	8
our	o	PRP$	10	poss	11
work	o	NN	11	conj	8
arise	o	VBP	12	ROOT	12
from	o	IN	13	prep	12
different	o	JJ	14	amod	16
boundary	o	JJ	15	compound	16
conditions	o	NNS	16	pobj	13
,	o	,	17	punct	12
and	o	CC	18	cc	12
assumptions	o	NNS	19	conj	12
regarding	o	VBG	20	prep	19
heating	o	NN	21	compound	22
rates	o	NNS	22	pobj	20
and	o	CC	23	cc	22
photochemistry	o	NN	24	conj	22
.	o	.	25	punct	12

We	o	PRP	0	nsubj	1
demonstrate	o	VBP	1	ROOT	1
this	o	DT	2	dobj	1
by	o	IN	3	prep	1
reproducing	o	VBG	4	pcomp	3
the	o	DT	5	det	6
results	o	NNS	6	dobj	4
of	o	IN	7	prep	6
Murray	o	NNP	8	compound	12
-	o	HYPH	9	punct	12
Clay	o	NNP	10	compound	12
et	o	FW	11	compound	12
al	o	NNP	12	pobj	7
.	o	.	13	punct	1
(	o	-LRB-	14	punct	15
2009	o	CD	15	npadvmod	1
)	o	-RRB-	16	punct	15
with	o	IN	17	prep	1
our	o	PRP$	18	poss	19
model	o	NN	19	pobj	17
.	o	.	20	punct	1

In	o	IN	0	prep	7
order	o	NN	1	pobj	0
to	o	TO	2	aux	3
do	o	VB	3	acl	1
so	o	RB	4	advmod	3
,	o	,	5	punct	7
we	o	PRP	6	nsubj	7
set	o	VBD	7	ROOT	7
the	o	DT	8	det	10
lower	o	JJR	9	amod	10
boundary	o	NN	10	dobj	7
to	o	IN	11	prep	7
30	o	CD	12	nummod	13
nbar	o	NN	13	pobj	11
with	o	IN	14	prep	7
a	o	DT	15	det	16
temperature	o	NN	16	pobj	14
of	o	IN	17	prep	16
1000	o	CD	18	nummod	19
K	o	NNP	19	pobj	17
,	o	,	20	punct	7
and	o	CC	21	cc	7
included	o	VBD	22	conj	7
the	o	DT	23	det	25
substellar	o	JJ	24	compound	25
tide	o	NN	25	dobj	22
in	o	IN	26	prep	25
the	o	DT	27	det	28
equations	o	NNS	28	pobj	26
of	o	IN	29	prep	28
motion	o	NN	30	pobj	29
.	o	.	31	punct	7

We	o	PRP	0	nsubj	2
only	o	RB	1	advmod	2
included	o	VBD	2	ROOT	2
H	o	NN	3	dobj	2
,	o	,	4	punct	3
H+	o	NN	5	conj	3
,	o	,	6	punct	3
and	o	CC	7	cc	3
electrons	o	NNS	8	conj	3
in	o	IN	9	prep	8
the	o	DT	10	det	11
model	o	NN	11	pobj	9
,	o	,	12	punct	8
and	o	CC	13	cc	8
used	o	VBD	14	conj	8
the	o	DT	15	det	18
recombination	o	NN	16	compound	17
rate	o	NN	17	compound	18
coefficient	o	NN	18	dobj	14
and	o	CC	19	cc	18
Lyman	o	NNP	20	nmod	23
α	o	XX	21	nmod	23
cooling	o	VBG	22	amod	23
rate	o	NN	23	conj	18
from	o	IN	24	prep	14
Murray	o	NNP	25	compound	29
-	o	HYPH	26	punct	29
Clay	o	NNP	27	compound	29
et	o	FW	28	compound	29
al	o	NNP	29	pobj	24
.	o	.	30	punct	2
(	o	-LRB-	31	punct	32
2009	o	CD	32	npadvmod	2
)	o	-RRB-	33	punct	32
.	o	.	34	punct	2

We	o	PRP	0	nsubj	2
also	o	RB	1	advmod	2
calculated	o	VBD	2	ROOT	2
the	o	DT	3	det	7
heating	o	NN	4	nmod	7
and	o	CC	5	cc	4
ionization	o	NN	6	conj	4
rates	o	NNS	7	dobj	2
with	o	IN	8	prep	7
the	o	DT	9	det	11
gray	o	JJ	10	amod	11
approximation	o	NN	11	pobj	8
by	o	IN	12	prep	2
assuming	o	VBG	13	pcomp	12
a	o	DT	14	det	17
single	o	JJ	15	amod	17
photon	o	NN	16	compound	17
energy	o	NN	17	dobj	13
of	o	IN	18	prep	17
20	o	CD	19	nummod	20
eV	o	NNS	20	pobj	18
for	o	IN	21	prep	17
the	o	DT	22	det	24
stellar	o	JJ	23	amod	24
flux	o	NN	24	pobj	21
of	o	IN	25	prep	24
0.45	o	CD	26	nummod	28
W	o	NNP	27	compound	28
m−2	o	NNS	28	pobj	25
at	QL	IN	29	prep	24
the	QL	DT	30	det	32
orbital	QL	JJ	31	amod	32
position	QL	NN	32	pobj	29
of	QL	IN	33	prep	32
HD209458b	QL	NNP	34	pobj	33
.	o	.	35	punct	2

Fig	o	NNP	0	nsubj	3
.	o	.	1	punct	0
10	o	CD	2	nummod	0
shows	o	VBZ	3	ROOT	3
the	o	DT	4	det	6
density	o	NN	5	compound	6
profiles	o	NNS	6	dobj	3
of	o	IN	7	prep	6
H	o	NN	8	pobj	7
and	o	CC	9	cc	8
H+	o	NN	10	conj	8
based	o	VBN	11	acl	6
on	o	IN	12	prep	11
this	o	DT	13	det	14
model	o	NN	14	pobj	12
(	o	-LRB-	15	punct	20
hereafter	o	RB	16	advmod	20
,	o	,	17	punct	20
the	o	DT	18	det	20
MC09	o	NNP	19	compound	20
model	o	NN	20	appos	14
)	o	-RRB-	21	punct	20
.	o	.	22	punct	3

Elemental	o	JJ	0	amod	1
impurities	o	NNS	1	nsubj	2
have	o	VBP	2	ROOT	2
three	o	CD	3	nummod	5
possible	o	JJ	4	amod	5
locations	o	NNS	5	dobj	2
for	o	IN	6	prep	5
bonding	o	VBG	7	pobj	6
in	o	IN	8	prep	7
CaCO3	o	NNP	9	pobj	8
[	o	-LRB-	10	punct	11
26	o	CD	11	dobj	2
]	o	-RRB-	12	punct	11
:	o	:	13	punct	2
Substitution	o	NN	14	nsubj	21
via	o	IN	15	prep	14
cation	o	NN	16	compound	17
exchange	o	NN	17	pobj	15
for	o	IN	18	prep	17
Ca2	o	NNS	19	pobj	18
+	o	CC	20	cc	14
occurs	o	NNS	21	acl	5
for	o	IN	22	prep	21
90–95	o	CD	23	nummod	24
%	o	NN	24	pobj	22
of	o	IN	25	prep	24
elements	o	NNS	26	pobj	25
e.g.	o	RB	27	advmod	26
,	o	,	28	punct	29
Fe	o	NNP	29	pobj	27
,	o	,	30	punct	29
Mn	o	NNP	31	conj	29
,	o	,	32	punct	31
and	o	CC	33	cc	31
Sr	o	NNP	34	subtok	35
.	o	.	35	punct	21

Adsorption	o	NNP	0	ROOT	0
onto	o	IN	1	prep	0
crystal	o	NN	2	compound	3
faces	o	NNS	3	pobj	1
to	o	TO	4	aux	5
balance	o	VB	5	advcl	0
charge	o	NN	6	compound	7
inbalances	o	NNS	7	dobj	5
e.g.	o	RB	8	advmod	10
,	o	,	9	punct	10
Na	o	NNP	10	npadvmod	5
,	o	,	11	punct	10
and	o	CC	12	cc	10
K.	o	NNP	13	compound	14
Inclusion	o	NNP	14	conj	10
of	o	IN	15	prep	14
additional	o	JJ	16	amod	18
mineral	o	NN	17	compound	18
phases	o	NNS	18	pobj	15
within	o	IN	19	prep	14
the	o	DT	20	det	21
CaCO3	o	NN	21	pobj	19
.	o	.	22	punct	0

Woods	o	NNP	0	compound	2
et	o	NNP	1	compound	2
al	o	NNP	2	nsubj	7
.	o	.	3	punct	2
(	o	-LRB-	4	punct	5
2000	o	CD	5	appos	2
)	o	-RRB-	6	punct	5
studied	o	VBD	7	ROOT	7
the	o	DT	8	det	9
variability	o	NN	9	dobj	7
of	o	IN	10	prep	9
solar	o	JJ	11	amod	12
Lyman	o	NNP	12	pobj	10
α	o	IN	13	amod	14
emissions	o	NNS	14	conj	9
based	o	VBN	15	acl	14
on	o	IN	16	prep	15
satellite	o	NN	17	compound	18
observations	o	NNS	18	pobj	16
spanning	o	VBG	19	acl	18
four	o	CD	20	nummod	25
and	o	CC	21	cc	20
a	o	DT	22	quantmod	23
half	o	JJ	23	conj	20
solar	o	JJ	24	amod	25
cycles	o	NNS	25	dobj	19
between	QL	IN	26	prep	19
1947	QL	CD	27	pobj	26
and	QL	CC	28	cc	27
1999	QL	CD	29	conj	27
.	o	.	30	punct	7

They	o	PRP	0	nsubj	1
found	o	VBD	1	ROOT	1
that	o	IN	2	mark	5
the	o	DT	3	det	4
variability	o	NN	4	nsubj	5
ranges	o	VBZ	5	ccomp	1
between	o	IN	6	prep	5
1	o	CD	7	nummod	8
%	o	NN	8	pobj	6
and	o	CC	9	cc	8
37	o	CD	10	nummod	11
%	o	NN	11	conj	8
during	QL	IN	12	prep	5
one	QL	CD	13	nummod	14
period	QL	NN	14	pobj	12
of	QL	IN	15	prep	14
solar	QL	JJ	16	amod	17
rotation	QL	NN	17	pobj	15
(	o	-LRB-	18	punct	14
27	o	CD	19	nummod	20
days	o	NNS	20	appos	14
)	o	-RRB-	21	punct	5
,	o	,	22	punct	1
and	o	CC	23	cc	1
the	o	DT	24	det	26
average	QL	JJ	25	amod	26
variability	o	NN	26	nsubjpass	32
during	o	IN	27	prep	26
one	o	CD	28	nummod	30
solar	o	JJ	29	amod	30
rotation	o	NN	30	pobj	27
was	o	VBD	31	auxpass	32
found	o	VBN	32	conj	1
to	o	TO	33	aux	34
be	o	VB	34	xcomp	32
9	o	CD	35	nummod	36
±	o	CD	36	attr	34
6	o	CD	37	nummod	38
%	o	NN	38	appos	36
.	o	.	39	punct	32

This	o	DT	0	det	1
result	o	NN	1	nsubj	2
agrees	o	VBZ	2	ROOT	2
well	o	RB	3	advmod	2
